Identificador,Producto,Marca,Precio,Cantidad
1102093,Sacapuntas,Milan,20,612
3722066,Sacapuntas,Maped,8,663
1470980,Goma,Bic,3,255
3786410,Tijeras,Faber Castell,5,534
7264717,Plumon,Faber Castell,20,115
5491213,Plumon,Staedtler,5,170
2045428,Goma,Maped,11,211
5329545,Cuaderno,Fabber Castell,11,528
6362183,Sacapuntas,Fabber Castell,13,409
4649103,Goma,Norma,11,407
3896127,Pegamento,Santillana,3,596
7661307,Borrador,Santillana,10,366
4005264,Borrador,Pritt,11,325
3937787,Libro,Bic,13,715
9426515,Lapiz,Sharpie,20,785
1723694,Pegamento,Fabber Castell,20,257
9622132,Tijeras,Santillana,10,130
3657533,Cuaderno,Pritt,11,698
7022530,Regla,Faber Castell,13,765
1080107,Borrador,Faber Castell,7,392
3349097,Tijeras,Faber Castell,3,791
4807861,Lapiz,Faber Castell,7,124
8099134,Regla,Fabber Castell,2,455
9221389,Pegamento,Fabber Castell,5,658
2588349,Libro,Milan,10,134
8682039,Sacapuntas,Sharpie,10,511
2338806,Lapiz,Faber Castell,3,387
3305709,Regla,Sharpie,10,386
1003115,Goma,Santillana,20,534
7571747,Goma,Fabber Castell,2,117
7331638,Pegamento,Milan,11,563
4704542,Sacapuntas,Santillana,10,723
6068685,Regla,Faber Castell,3,261
4660300,Goma,Faber Castell,20,588
3730346,Pegamento,Milan,8,175
8097418,Tijeras,Maped,7,547
4471841,Lapiz,Norma,10,309
6469748,Tijeras,Fabber Castell,11,506
1366735,Cuaderno,Sharpie,2,375
8684779,Plumon,Milan,2,657
9592991,Libro,Bic,3,596
9627051,Goma,Bic,5,693
9596324,Plumon,Milan,10,314
8106452,Pegamento,Sharpie,5,470
9802052,Sacapuntas,Pritt,11,697
7822937,Tijeras,Sharpie,20,513
2000364,Tijeras,Milan,11,635
4035182,Goma,Maped,11,566
2440691,Tijeras,Milan,15,583
4936704,Pegamento,Pritt,3,715
9750610,Cuaderno,Sharpie,11,788
6992207,Sacapuntas,Santillana,13,410
4169618,Borrador,Santillana,11,483
9993642,Regla,Faber Castell,13,455
3584742,Cuaderno,Faber Castell,3,757
7921301,Goma,Bic,5,745
8290623,Lapiz,Norma,13,503
5848877,Cuaderno,Staedtler,15,705
2661990,Libro,Faber Castell,10,314
7909181,Cuaderno,Norma,15,587
9901663,Goma,Fabber Castell,3,423
4007414,Pegamento,Fabber Castell,11,663
8939711,Cuaderno,Milan,3,724
3401804,Plumon,Maped,13,591
4279324,Regla,Sharpie,10,678
8551916,Pegamento,Staedtler,2,336
7859604,Pegamento,Norma,5,797
8467181,Regla,Staedtler,8,681
4588379,Sacapuntas,Faber Castell,8,541
4129580,Lapiz,Fabber Castell,13,506
7726756,Tijeras,Maped,20,229
4898401,Cuaderno,Staedtler,5,149
9348754,Plumon,Faber Castell,20,178
4751804,Regla,Norma,2,376
8301661,Goma,Santillana,15,442
4153227,Lapiz,Milan,11,618
4677926,Cuaderno,Sharpie,3,313
8787746,Pegamento,Pritt,11,558
9782215,Libro,Bic,8,385
6451128,Cuaderno,Faber Castell,5,418
1951409,Goma,Staedtler,5,326
7354901,Lapiz,Faber Castell,8,502
3729358,Regla,Sharpie,8,361
5452495,Borrador,Norma,15,111
8906961,Pegamento,Santillana,11,461
1229163,Regla,Bic,5,294
3112017,Goma,Faber Castell,3,417
4544993,Goma,Norma,8,584
6845457,Lapiz,Sharpie,7,351
6279369,Cuaderno,Maped,20,455
7835999,Sacapuntas,Staedtler,8,271
9684472,Regla,Norma,8,338
7259127,Sacapuntas,Maped,20,483
1252386,Cuaderno,Maped,2,199
7042167,Borrador,Milan,10,353
4378782,Pegamento,Milan,10,246
7658271,Libro,Milan,5,784
6905007,Lapiz,Sharpie,11,648
8781442,Goma,Pritt,11,707
5415971,Cuaderno,Milan,8,637
9125899,Pegamento,Milan,20,480
7568635,Lapiz,Maped,2,657
6500640,Goma,Fabber Castell,5,374
9270980,Sacapuntas,Norma,2,562
4184039,Regla,Fabber Castell,8,352
4702954,Lapiz,Bic,20,792
1555394,Lapiz,Faber Castell,3,556
3852911,Pegamento,Staedtler,10,610
6717741,Pegamento,Santillana,3,636
4300178,Sacapuntas,Bic,2,381
6301691,Sacapuntas,Maped,20,268
9452272,Goma,Bic,15,636
2872443,Goma,Milan,11,214
3094833,Pegamento,Sharpie,10,575
2831814,Sacapuntas,Staedtler,13,438
5183869,Tijeras,Fabber Castell,11,156
2228476,Tijeras,Bic,2,772
9785543,Goma,Staedtler,15,734
7167906,Libro,Sharpie,5,310
8340032,Cuaderno,Staedtler,3,231
9178342,Pegamento,Pritt,5,628
9648263,Plumon,Norma,20,599
2143959,Libro,Bic,20,755
5692439,Tijeras,Fabber Castell,8,356
4572872,Cuaderno,Milan,3,440
3766925,Tijeras,Staedtler,8,521
4609370,Goma,Faber Castell,7,591
9822054,Plumon,Faber Castell,10,480
7693226,Libro,Santillana,5,483
1771654,Goma,Santillana,15,752
8720216,Borrador,Santillana,13,384
7641512,Pegamento,Pritt,8,209
2820980,Plumon,Pritt,10,325
9121037,Borrador,Faber Castell,11,694
7066372,Plumon,Fabber Castell,5,604
2393083,Regla,Santillana,8,384
6743747,Regla,Fabber Castell,3,111
8057055,Sacapuntas,Faber Castell,2,221
8608117,Cuaderno,Norma,11,657
3225820,Pegamento,Bic,2,330
1169537,Sacapuntas,Fabber Castell,10,583
7659367,Pegamento,Fabber Castell,5,402
5900332,Tijeras,Bic,10,211
9699036,Tijeras,Maped,20,624
4156233,Borrador,Faber Castell,2,696
5767756,Goma,Bic,8,580
1007024,Sacapuntas,Pritt,15,413
6516676,Libro,Santillana,13,246
9831563,Cuaderno,Norma,8,505
4634320,Plumon,Milan,5,325
1066262,Cuaderno,Norma,2,728
6761058,Borrador,Milan,15,411
9598466,Libro,Pritt,10,554
2761067,Sacapuntas,Bic,11,543
4136189,Libro,Fabber Castell,10,685
3864916,Libro,Pritt,7,363
9988460,Regla,Santillana,11,604
3878331,Sacapuntas,Faber Castell,11,251
8699902,Pegamento,Fabber Castell,7,294
9362747,Libro,Fabber Castell,7,797
8454764,Cuaderno,Pritt,11,351
3926307,Borrador,Santillana,5,629
4201260,Regla,Pritt,8,408
7967556,Tijeras,Fabber Castell,13,744
1467108,Plumon,Bic,15,153
9139448,Libro,Maped,8,382
8657682,Plumon,Sharpie,2,643
3581142,Cuaderno,Bic,20,101
9037145,Borrador,Fabber Castell,15,544
4894018,Plumon,Sharpie,10,136
3768257,Tijeras,Milan,15,595
6375766,Cuaderno,Sharpie,5,235
6009571,Regla,Faber Castell,8,235
8793644,Regla,Maped,3,433
4656271,Goma,Staedtler,5,794
1099411,Regla,Pritt,3,116
4407575,Pegamento,Santillana,5,349
8998896,Pegamento,Sharpie,15,273
5524332,Sacapuntas,Pritt,20,500
4010316,Regla,Santillana,20,559
4401810,Lapiz,Bic,5,468
7747241,Sacapuntas,Milan,3,573
7755528,Libro,Faber Castell,13,309
3836871,Plumon,Milan,10,652
7984512,Tijeras,Staedtler,7,298
6886798,Tijeras,Faber Castell,11,622
4952208,Plumon,Sharpie,20,307
9984941,Libro,Staedtler,10,784
2113192,Regla,Santillana,7,612
3185434,Pegamento,Maped,20,707
8241719,Regla,Sharpie,8,114
4693159,Sacapuntas,Santillana,20,667
2871994,Lapiz,Maped,10,712
9787911,Regla,Santillana,3,563
8045010,Borrador,Sharpie,8,259
5936444,Cuaderno,Staedtler,7,106
6023569,Pegamento,Faber Castell,20,302
4360709,Pegamento,Pritt,13,686
2254899,Pegamento,Bic,7,399
5984343,Pegamento,Staedtler,8,350
8209167,Goma,Sharpie,15,444
8307034,Sacapuntas,Sharpie,2,512
8622031,Goma,Faber Castell,3,773
2636468,Goma,Bic,11,216
3848824,Tijeras,Pritt,20,615
5668934,Regla,Pritt,20,276
2625744,Lapiz,Maped,5,378
9888177,Plumon,Milan,13,415
9080280,Lapiz,Milan,15,151
3188555,Cuaderno,Maped,15,433
8757475,Pegamento,Fabber Castell,5,204
3539844,Borrador,Santillana,7,744
1770020,Regla,Milan,15,590
3097744,Goma,Faber Castell,13,205
5436483,Cuaderno,Santillana,10,361
4383853,Libro,Pritt,15,153
7541492,Goma,Maped,5,792
3830206,Borrador,Staedtler,10,296
6817454,Lapiz,Pritt,7,158
2373081,Cuaderno,Staedtler,15,764
8175842,Borrador,Sharpie,5,442
3794249,Lapiz,Norma,20,675
6476564,Lapiz,Fabber Castell,20,300
4048173,Pegamento,Sharpie,2,669
6789875,Pegamento,Norma,11,221
3594930,Libro,Staedtler,5,674
5237752,Sacapuntas,Pritt,3,515
7848176,Tijeras,Staedtler,11,150
1432336,Pegamento,Santillana,13,527
2104988,Pegamento,Bic,2,605
1648257,Libro,Sharpie,15,373
5906968,Borrador,Maped,10,738
5762202,Goma,Pritt,13,584
3116118,Regla,Staedtler,15,290
1217574,Lapiz,Staedtler,2,386
3136557,Tijeras,Staedtler,7,209
6705969,Lapiz,Fabber Castell,11,669
1350143,Regla,Maped,2,555
5736061,Goma,Bic,15,715
4680409,Tijeras,Fabber Castell,13,589
5211501,Sacapuntas,Milan,2,607
5797824,Cuaderno,Milan,10,326
2629317,Cuaderno,Milan,5,401
7113929,Libro,Maped,20,221
2321712,Libro,Fabber Castell,3,552
1940943,Goma,Pritt,7,368
9830347,Lapiz,Milan,13,410
3081417,Plumon,Pritt,7,192
5816797,Sacapuntas,Staedtler,20,308
2625764,Plumon,Santillana,3,169
9394805,Pegamento,Staedtler,20,577
6051316,Libro,Norma,11,776
1944896,Pegamento,Pritt,11,685
6104296,Pegamento,Faber Castell,2,428
3822969,Plumon,Pritt,7,433
2955711,Goma,Milan,8,553
7823481,Pegamento,Fabber Castell,7,102
7026250,Plumon,Norma,15,777
4692598,Regla,Faber Castell,11,719
6270190,Regla,Santillana,3,530
6606875,Sacapuntas,Pritt,8,693
5574219,Sacapuntas,Staedtler,11,222
5494641,Lapiz,Bic,13,110
1163239,Libro,Staedtler,15,467
3508764,Lapiz,Sharpie,8,484
6355335,Tijeras,Santillana,7,730
7469167,Cuaderno,Santillana,2,144
7738982,Cuaderno,Faber Castell,3,437
3199232,Regla,Maped,5,127
7096117,Tijeras,Bic,5,429
6670199,Libro,Bic,2,300
5943992,Pegamento,Maped,2,677
2172753,Borrador,Norma,11,691
5765604,Tijeras,Sharpie,11,150
8611322,Borrador,Fabber Castell,13,365
9432618,Plumon,Faber Castell,15,516
5913858,Regla,Maped,8,517
7030382,Regla,Milan,15,545
9034578,Pegamento,Faber Castell,2,502
3562797,Plumon,Pritt,2,191
6503869,Lapiz,Bic,2,758
6031081,Goma,Sharpie,5,401
1662318,Lapiz,Faber Castell,5,270
3780127,Sacapuntas,Norma,5,118
7964371,Libro,Fabber Castell,15,719
2945625,Tijeras,Milan,13,238
4579666,Pegamento,Fabber Castell,11,687
4080695,Cuaderno,Pritt,20,309
1855002,Regla,Milan,3,770
3544900,Tijeras,Bic,5,604
1087631,Cuaderno,Staedtler,2,247
6370014,Regla,Sharpie,20,397
4792576,Plumon,Pritt,11,292
1785469,Goma,Fabber Castell,11,278
9241223,Regla,Norma,10,111
8174188,Tijeras,Bic,10,723
1235547,Lapiz,Staedtler,8,724
5089349,Plumon,Milan,15,642
7427421,Borrador,Milan,11,767
8977652,Lapiz,Milan,7,514
6108114,Sacapuntas,Bic,5,527
3522196,Pegamento,Faber Castell,8,467
2583584,Regla,Sharpie,13,604
6697057,Lapiz,Fabber Castell,2,133
9172540,Cuaderno,Bic,11,168
3766593,Regla,Bic,11,352
8417528,Goma,Pritt,8,289
6075561,Lapiz,Bic,3,149
1409245,Libro,Pritt,5,721
5788558,Lapiz,Maped,13,588
4104405,Tijeras,Staedtler,13,179
4785438,Libro,Pritt,7,116
9504703,Sacapuntas,Bic,2,262
1600995,Tijeras,Maped,2,797
5546338,Regla,Staedtler,7,434
7973265,Borrador,Fabber Castell,7,500
8910382,Plumon,Faber Castell,15,441
4199996,Lapiz,Norma,10,744
4242141,Goma,Fabber Castell,10,398
7739792,Goma,Faber Castell,10,386
1992073,Regla,Milan,3,653
3236159,Lapiz,Bic,10,461
2877354,Sacapuntas,Pritt,2,412
2408286,Pegamento,Staedtler,3,584
4651769,Plumon,Maped,11,583
6379741,Tijeras,Bic,7,206
2654699,Tijeras,Pritt,5,454
1832619,Tijeras,Norma,8,384
6154791,Regla,Pritt,20,253
7381839,Regla,Sharpie,7,414
6176799,Libro,Bic,3,152
8159607,Cuaderno,Maped,20,521
4776162,Cuaderno,Santillana,8,778
7299527,Cuaderno,Bic,3,659
8337360,Cuaderno,Faber Castell,7,763
8573731,Libro,Milan,15,211
8421923,Goma,Sharpie,13,267
4286465,Regla,Milan,2,310
8955116,Tijeras,Milan,15,283
6491625,Goma,Staedtler,15,639
3594145,Borrador,Norma,20,108
1238391,Goma,Norma,20,549
6934264,Borrador,Santillana,2,562
9965867,Pegamento,Sharpie,3,544
4196306,Tijeras,Sharpie,20,531
7315835,Tijeras,Norma,7,531
5731391,Cuaderno,Fabber Castell,13,747
9163470,Libro,Maped,5,147
7235219,Tijeras,Fabber Castell,11,230
1077119,Cuaderno,Santillana,11,371
3530426,Pegamento,Bic,8,158
1222604,Goma,Santillana,5,288
5034039,Lapiz,Bic,5,744
5582655,Plumon,Milan,10,712
6903205,Libro,Fabber Castell,10,211
9473799,Plumon,Milan,8,510
4264854,Sacapuntas,Bic,11,798
8217435,Lapiz,Norma,5,621
9843221,Tijeras,Norma,8,339
9237300,Plumon,Bic,3,568
2010855,Sacapuntas,Sharpie,8,734
9851963,Sacapuntas,Norma,2,598
2602499,Regla,Staedtler,3,785
4359364,Lapiz,Bic,11,215
4176044,Regla,Staedtler,11,423
6396924,Sacapuntas,Bic,2,325
5834180,Pegamento,Pritt,7,122
3910592,Regla,Milan,10,625
8323211,Cuaderno,Staedtler,8,273
4512696,Regla,Faber Castell,11,751
7343142,Lapiz,Maped,13,140
7529776,Regla,Staedtler,5,504
9766448,Plumon,Maped,5,648
1541285,Borrador,Maped,15,537
8310913,Tijeras,Staedtler,8,194
5317862,Sacapuntas,Fabber Castell,5,363
8942606,Goma,Norma,7,224
8140577,Pegamento,Pritt,3,241
5564711,Tijeras,Staedtler,15,248
7932723,Goma,Pritt,5,755
6203582,Cuaderno,Sharpie,15,672
8209979,Goma,Milan,10,733
2992145,Cuaderno,Pritt,7,705
7387243,Borrador,Bic,20,539
6416373,Pegamento,Milan,8,434
2125168,Libro,Sharpie,13,198
4286387,Borrador,Fabber Castell,8,365
3439562,Tijeras,Fabber Castell,8,262
7935273,Pegamento,Faber Castell,20,669
1124003,Lapiz,Bic,5,342
3873685,Pegamento,Pritt,3,466
8443358,Lapiz,Milan,10,108
4354771,Libro,Milan,3,457
8235082,Tijeras,Norma,11,543
8180363,Pegamento,Milan,5,798
4313584,Regla,Pritt,3,180
9928880,Lapiz,Santillana,7,711
7090787,Plumon,Norma,20,567
1995111,Lapiz,Pritt,5,722
3246794,Tijeras,Pritt,10,641
5542987,Sacapuntas,Norma,13,236
8674379,Lapiz,Sharpie,13,755
3313640,Lapiz,Milan,20,770
7122422,Sacapuntas,Bic,2,734
1371028,Plumon,Santillana,15,263
9120524,Libro,Bic,7,282
4407713,Sacapuntas,Fabber Castell,11,711
5522715,Regla,Sharpie,13,485
1827655,Cuaderno,Staedtler,8,411
3839217,Tijeras,Maped,2,104
7414834,Borrador,Norma,13,737
3430451,Regla,Pritt,2,155
2940824,Sacapuntas,Staedtler,2,329
7937204,Pegamento,Maped,13,446
4332465,Tijeras,Maped,5,724
2658846,Libro,Faber Castell,10,464
3687053,Sacapuntas,Milan,11,407
7418947,Plumon,Santillana,8,338
6338018,Borrador,Fabber Castell,3,610
8520650,Goma,Bic,15,781
2893934,Pegamento,Milan,13,383
5946739,Libro,Fabber Castell,3,290
4350498,Goma,Pritt,15,554
6408867,Goma,Norma,15,445
5559536,Pegamento,Sharpie,10,407
9575323,Goma,Maped,11,402
6533820,Tijeras,Pritt,10,281
1973755,Plumon,Santillana,11,727
3094574,Goma,Faber Castell,11,510
8393147,Libro,Staedtler,20,493
1005289,Cuaderno,Santillana,8,530
6314161,Borrador,Staedtler,10,482
8352715,Cuaderno,Milan,8,545
4219278,Lapiz,Milan,13,766
2215704,Sacapuntas,Milan,15,742
2372377,Cuaderno,Staedtler,20,673
8229938,Tijeras,Santillana,15,784
8150820,Libro,Faber Castell,8,328
3631272,Tijeras,Staedtler,20,712
5485630,Goma,Faber Castell,20,432
2967078,Tijeras,Pritt,2,493
4568860,Regla,Maped,11,710
3717071,Sacapuntas,Sharpie,7,297
8225287,Lapiz,Norma,2,741
1426222,Lapiz,Santillana,5,674
7901240,Goma,Pritt,13,318
9925975,Plumon,Bic,11,442
9053638,Goma,Bic,11,133
8004029,Cuaderno,Maped,10,287
5370598,Pegamento,Santillana,20,655
3673596,Cuaderno,Santillana,10,738
9290926,Tijeras,Norma,20,397
6443131,Sacapuntas,Maped,2,410
7173527,Sacapuntas,Fabber Castell,15,223
4589014,Lapiz,Bic,8,196
2365635,Lapiz,Milan,10,393
4322046,Lapiz,Maped,3,615
7787948,Pegamento,Bic,2,430
5361501,Tijeras,Norma,2,784
6077852,Plumon,Santillana,15,706
4903896,Regla,Milan,3,405
4181493,Goma,Fabber Castell,20,398
3384356,Sacapuntas,Bic,7,360
4690638,Goma,Norma,13,636
8095511,Lapiz,Bic,20,637
4425298,Cuaderno,Bic,7,228
5124949,Regla,Sharpie,7,217
3502202,Tijeras,Sharpie,2,210
6605352,Regla,Sharpie,13,736
7146482,Cuaderno,Faber Castell,11,451
3183646,Libro,Santillana,15,462
8026707,Borrador,Fabber Castell,15,601
7278849,Plumon,Bic,7,183
1267071,Lapiz,Bic,10,214
4043443,Tijeras,Sharpie,11,593
8395578,Plumon,Fabber Castell,11,642
4790555,Sacapuntas,Sharpie,2,532
1897655,Lapiz,Faber Castell,5,703
9167224,Pegamento,Maped,13,477
1180549,Lapiz,Santillana,5,144
1265334,Borrador,Maped,5,118
7174052,Tijeras,Norma,8,537
7441137,Pegamento,Norma,7,727
3900445,Goma,Santillana,20,761
4955283,Libro,Bic,13,665
3250357,Tijeras,Maped,7,138
8741664,Lapiz,Staedtler,15,657
1245006,Libro,Maped,15,268
7836145,Goma,Norma,13,259
6228424,Cuaderno,Faber Castell,2,705
3333766,Tijeras,Faber Castell,3,480
9966863,Lapiz,Faber Castell,2,453
9315321,Plumon,Norma,20,525
6757089,Regla,Bic,8,290
3912655,Cuaderno,Sharpie,10,279
8848938,Plumon,Pritt,5,669
5052231,Cuaderno,Santillana,7,413
3742917,Lapiz,Maped,13,314
8696238,Libro,Sharpie,7,507
6829283,Plumon,Fabber Castell,7,331
5961504,Plumon,Santillana,10,227
6978218,Libro,Milan,10,316
2348559,Libro,Staedtler,13,459
3573655,Regla,Santillana,11,630
9760990,Goma,Fabber Castell,2,311
1042533,Pegamento,Faber Castell,7,334
7088438,Cuaderno,Fabber Castell,15,647
6563632,Goma,Fabber Castell,8,255
7364123,Libro,Staedtler,20,391
6284560,Borrador,Sharpie,7,268
7243752,Tijeras,Faber Castell,11,236
4232043,Goma,Santillana,15,144
1059734,Sacapuntas,Faber Castell,7,721
4769675,Plumon,Santillana,8,193
6942127,Tijeras,Maped,10,449
3406369,Libro,Faber Castell,20,112
2774962,Borrador,Bic,20,422
3238816,Lapiz,Maped,15,796
2698292,Sacapuntas,Faber Castell,10,495
6885813,Pegamento,Bic,7,688
5902269,Cuaderno,Norma,15,720
7445079,Tijeras,Milan,8,502
4476004,Cuaderno,Maped,13,708
4497938,Pegamento,Staedtler,10,615
7359896,Plumon,Bic,5,667
8945057,Tijeras,Staedtler,8,333
9091845,Tijeras,Fabber Castell,10,432
5048920,Pegamento,Maped,15,665
6487356,Borrador,Faber Castell,3,618
9453142,Lapiz,Milan,13,310
6531315,Goma,Bic,20,427
8297482,Tijeras,Bic,2,752
2010765,Libro,Norma,10,492
8050878,Sacapuntas,Santillana,13,639
6808927,Plumon,Maped,3,223
4836201,Sacapuntas,Fabber Castell,13,633
3678236,Regla,Fabber Castell,5,663
5825249,Borrador,Milan,2,382
5081546,Plumon,Fabber Castell,7,477
5900304,Plumon,Maped,15,507
2763156,Goma,Pritt,3,663
4301147,Sacapuntas,Faber Castell,2,280
2562280,Plumon,Santillana,7,709
9358670,Pegamento,Norma,2,744
3516960,Tijeras,Milan,13,574
3501979,Tijeras,Santillana,5,730
9546230,Plumon,Bic,3,649
7217924,Pegamento,Staedtler,7,111
8545680,Cuaderno,Milan,11,456
6201292,Sacapuntas,Fabber Castell,10,599
3116656,Lapiz,Fabber Castell,11,122
3440028,Libro,Fabber Castell,5,321
5033967,Cuaderno,Bic,7,796
5247978,Tijeras,Sharpie,3,665
4845795,Borrador,Pritt,13,506
4623456,Cuaderno,Faber Castell,11,478
2889804,Goma,Norma,7,546
5730956,Borrador,Santillana,10,279
6064660,Borrador,Pritt,7,354
6445929,Plumon,Maped,5,594
7045916,Pegamento,Sharpie,2,312
7952290,Pegamento,Fabber Castell,11,709
7366753,Goma,Sharpie,10,631
4145693,Sacapuntas,Norma,8,234
6743078,Cuaderno,Pritt,20,387
4777969,Lapiz,Sharpie,11,500
6076745,Goma,Staedtler,15,712
9356018,Sacapuntas,Norma,11,503
7894201,Sacapuntas,Milan,13,256
9691198,Sacapuntas,Norma,7,506
4348795,Regla,Norma,20,690
5504403,Sacapuntas,Milan,3,229
8680803,Lapiz,Maped,5,427
7521838,Libro,Fabber Castell,5,766
5025495,Libro,Fabber Castell,8,786
5217142,Pegamento,Faber Castell,13,268
1744097,Libro,Santillana,20,754
4778578,Sacapuntas,Faber Castell,20,305
3622437,Lapiz,Staedtler,11,458
5348605,Lapiz,Milan,8,100
3347726,Plumon,Maped,13,434
6527851,Goma,Norma,7,328
7443249,Pegamento,Fabber Castell,11,589
5212751,Plumon,Santillana,20,322
2570994,Pegamento,Staedtler,15,255
1192269,Borrador,Santillana,2,436
2754148,Tijeras,Santillana,8,503
8248186,Libro,Milan,15,352
1871958,Cuaderno,Bic,5,229
8888425,Regla,Norma,15,137
7170719,Sacapuntas,Faber Castell,11,780
4180996,Pegamento,Pritt,13,545
2015222,Sacapuntas,Norma,5,255
3640907,Borrador,Milan,3,270
4666128,Tijeras,Milan,8,521
6332222,Plumon,Fabber Castell,2,236
3662433,Borrador,Sharpie,3,743
1609173,Plumon,Bic,3,751
9151475,Plumon,Fabber Castell,15,544
6144311,Goma,Fabber Castell,8,710
8701539,Borrador,Pritt,10,667
5202507,Borrador,Fabber Castell,15,167
4630946,Tijeras,Pritt,2,637
7361314,Goma,Pritt,13,447
2119720,Tijeras,Pritt,15,358
5458234,Pegamento,Norma,20,130
4901688,Libro,Santillana,15,299
8872795,Libro,Fabber Castell,5,787
7359332,Plumon,Sharpie,20,728
5436956,Tijeras,Fabber Castell,8,433
4402284,Goma,Pritt,2,584
8182502,Borrador,Bic,10,545
8947003,Goma,Sharpie,2,720
9987518,Lapiz,Norma,15,137
9954046,Borrador,Norma,20,477
7939021,Sacapuntas,Bic,5,753
1038808,Pegamento,Pritt,10,745
9039741,Pegamento,Sharpie,2,680
7573664,Sacapuntas,Milan,20,714
4599518,Lapiz,Fabber Castell,11,569
6287717,Borrador,Maped,11,402
5985726,Plumon,Faber Castell,20,256
3507106,Lapiz,Faber Castell,8,465
5428415,Goma,Sharpie,13,140
6369967,Regla,Maped,13,782
1485074,Cuaderno,Santillana,8,501
6153544,Cuaderno,Staedtler,15,132
4447536,Tijeras,Santillana,13,622
8783548,Lapiz,Milan,10,328
2020430,Goma,Sharpie,8,567
5637931,Borrador,Faber Castell,11,545
8864314,Plumon,Staedtler,3,734
9036524,Cuaderno,Norma,2,711
1748296,Borrador,Pritt,5,606
6214115,Tijeras,Faber Castell,20,592
8721177,Regla,Staedtler,2,608
9341340,Plumon,Maped,10,328
7518146,Regla,Faber Castell,7,520
9796727,Pegamento,Sharpie,15,477
8296610,Plumon,Milan,7,549
5520387,Goma,Bic,5,484
1760140,Plumon,Pritt,3,124
6562630,Plumon,Norma,8,249
8881961,Plumon,Norma,2,191
4595452,Libro,Norma,10,283
5315296,Goma,Staedtler,10,169
5987534,Pegamento,Norma,3,293
6826828,Plumon,Milan,7,474
2356405,Goma,Faber Castell,15,459
7041987,Cuaderno,Santillana,20,241
1310850,Tijeras,Fabber Castell,15,295
1568803,Tijeras,Staedtler,15,435
5707199,Tijeras,Maped,5,149
6647152,Libro,Fabber Castell,7,337
9206386,Tijeras,Faber Castell,13,769
5646338,Lapiz,Sharpie,8,794
6231347,Pegamento,Staedtler,13,295
3666558,Tijeras,Norma,2,211
3291422,Borrador,Sharpie,5,547
4442904,Lapiz,Pritt,7,150
8839733,Regla,Staedtler,10,647
9181681,Borrador,Pritt,8,403
4046730,Pegamento,Bic,11,360
9761340,Regla,Pritt,15,638
1207444,Regla,Milan,10,236
6885723,Pegamento,Norma,2,734
9925336,Lapiz,Bic,13,487
2847587,Regla,Bic,8,544
4562151,Libro,Norma,8,416
6678139,Lapiz,Pritt,15,420
5294512,Regla,Norma,3,318
8596543,Sacapuntas,Norma,8,670
7290032,Tijeras,Sharpie,20,558
6794502,Lapiz,Milan,10,700
7471533,Cuaderno,Maped,3,162
3301944,Libro,Bic,13,473
8202840,Cuaderno,Santillana,2,242
3997311,Sacapuntas,Norma,5,566
4012816,Plumon,Pritt,7,795
2140680,Goma,Maped,13,536
3516319,Libro,Norma,3,705
4698269,Cuaderno,Pritt,20,723
2734388,Tijeras,Milan,10,771
1462493,Regla,Sharpie,5,705
6318240,Pegamento,Staedtler,8,767
8252711,Pegamento,Norma,2,717
7382494,Pegamento,Sharpie,7,532
5173197,Goma,Staedtler,20,639
8722412,Sacapuntas,Fabber Castell,2,704
3115037,Libro,Norma,7,712
3537460,Tijeras,Sharpie,8,106
9926635,Tijeras,Santillana,15,311
3585061,Cuaderno,Milan,5,520
6809704,Plumon,Faber Castell,15,634
3460609,Cuaderno,Faber Castell,13,248
3336316,Cuaderno,Norma,5,533
2378562,Plumon,Faber Castell,5,202
2528535,Plumon,Maped,10,409
4583556,Goma,Maped,13,366
4998997,Regla,Sharpie,13,360
8035065,Libro,Santillana,7,416
7352835,Cuaderno,Maped,2,737
9749233,Libro,Sharpie,2,480
6078534,Tijeras,Maped,2,212
3263876,Cuaderno,Fabber Castell,5,306
7676407,Goma,Bic,8,270
5054735,Tijeras,Sharpie,13,430
9437017,Lapiz,Pritt,20,721
5351619,Tijeras,Faber Castell,2,704
5508201,Pegamento,Santillana,20,551
7015729,Goma,Norma,13,559
3105788,Borrador,Maped,15,180
9785413,Goma,Bic,7,245
9286253,Libro,Milan,8,652
6934086,Sacapuntas,Sharpie,11,606
2114259,Tijeras,Faber Castell,3,604
6192692,Tijeras,Maped,3,644
8387395,Plumon,Fabber Castell,8,448
1112267,Regla,Pritt,5,491
3135872,Tijeras,Fabber Castell,8,454
4927994,Goma,Santillana,13,135
5600119,Borrador,Fabber Castell,8,732
8380896,Tijeras,Santillana,13,508
3006472,Borrador,Norma,5,298
1693195,Cuaderno,Bic,11,651
5001304,Pegamento,Sharpie,8,743
1789481,Regla,Pritt,20,733
2768468,Lapiz,Sharpie,20,457
4210925,Borrador,Maped,5,759
3174196,Borrador,Norma,15,441
5592328,Pegamento,Faber Castell,11,324
1718417,Regla,Staedtler,8,760
9966708,Cuaderno,Fabber Castell,3,289
9046016,Plumon,Santillana,5,210
3456970,Tijeras,Sharpie,2,581
8405233,Lapiz,Norma,13,184
5559652,Pegamento,Sharpie,20,405
5794758,Sacapuntas,Pritt,20,404
4132869,Plumon,Pritt,11,356
2475710,Sacapuntas,Staedtler,20,515
8542562,Cuaderno,Faber Castell,2,510
